,text,likes,timestamp
56,"Open questions to all Media houses/Journalists covering Manipur Conflict.

Please let us know.

#SaveMeitei #Meiteis #Manipur",365,08-08-2023
57,"“Manipur BJP @BJP4Manipur demands replacing Assam Rifles”

If Non-BJP said anything something like that, BJPains declared them anti-national, Chinese agent, Jihadi and etc…
@INCIndia @arivalayam @rwac48 @AamAadmiParty @AITCofficial @aimim_national @samajwadiparty @cpimspeak",17,08-08-2023
58,"Sangrur MP @SimranjitSADA spoke in parliament today on no confidence motion against Modi govt. In this he referred violence against civilians in Manipur especially against Christian minority , talked about violence against Muslims in Nue & violence against Sikhs in the world.",92,08-08-2023
59,@IndiaTodayNE @IndiaToday @aajtak @TheTelegraph__ @EastMojo @ThePrintIndia @htTweets @WIONews @thewire_in @timesofindia @TimesNow This is what has been happening in the epi center of Manipur Conflict - Churchandpur. Ethnic cleansing of Meities.,1,08-08-2023
60,"“A cartoonish Christian vs. Hindu narrative will not resolve the Manipur tragedy. Unfortunately, too many Christian groups take the idea that Manipur violence is an anti-Christian issue at face value.”

Critical analysis by ⁦@AEI⁩’s ⁦@mrubin1971 washingtonexaminer.com/opini…",10,08-09-2023
61,"NCP Lok Sabha MP Supriya Sule in Loksabha says d biggest achievement of BJP led central government in last NINE years are toppling the NINE different state governments— Karnataka, Madhya Pradesh, Arunachal Pradesh, Uttarakhand, Manipur, Meghalaya, Goa, Puducherry & Maharashtra.",1528,08-08-2023
62,"‘मणिपुर की कुकी और मैतेई, साथ गा रहे गाना’: प्रशांत भूषण एन्ड गैंग ने फैलाया फेक न्यूज़, उत्तराखंड की पिता-पुत्री का वीडियो डाल किए झूठे दावे

#PrashantBhushan #Manipur 

hindi.opindia.com/fact-check…",1268,08-08-2023
63,"We have 3 questions for PM Modi:

1. Why has PM Modi not visited Manipur till date?

2. Why did PM Modi take almost 80 days to speak on Manipur?

3. Why hasn't PM Modi sacked the CM of Manipur till date?

: @GauravGogoiAsm
Congress MP
#ManipurViolence
#NoConfidenceMotion",291,08-08-2023
64,"🚨 FIR filed against Personnels of 9th Asam Rifles Battalion for preventing the Manipur Police from conducting search operation to nab Kuki Militants.

🚨 The AR team had deliberately parked their Casper vehicle in the middle of the road to block the movement of the Manipur…",560,08-08-2023
65,Manipur state forces can't accept the fact that they are incompetent ... They should be ashamed instead,0,08-09-2023
66,The plot in #Manipur continues to get murkier. In a bizarre incident the local police has filed an FIR against Assam Rifles while the local #BJP unit has written to the Centre demanding removal of AR accusing it of partisanship with #Kukis! Hubris at its worst.#ManipurViolence,1,08-09-2023
67,"NOT ALL HEROES WEAR CAPES.
A Manipur Policeman carrying a Meitei Pangal(#Muslim) to safety  after being shot by #kukimilitants in the Kwakta town of Bishnupur, where it has now turned into a warzone because of the relentless attack by Kuki militants.

Salute to our brave #Manipur…",133,08-08-2023
68,"1st - Arms & Ammunition looted/handed over in Imphal Valley
2nd - Assam Rifles removed from strategic buffer zone
3rd - Its not hard to deduce what's coming.
India - your silence could result in the annihilation of #KukiZo minorities in Manipur.
Speak up India 🙏📢",301,08-08-2023
69,*Grand Welcome to BJP leaders in Manipur*,144,08-06-2023
70,"Here is ANOTHER undeniable proof COMING directly from our respected PM Modi  and HM Amit Shah’s mouth that KUKI_ZO’s are not illegal immigrants but true citizens of India.

In 2022, during the inauguration and foundation stone laying of 21 development projects in Manipur, PM Modi…",21,08-09-2023
71,"One trauma after another - sometimes for Hindus sometimes for Muslims another time Christians then Adivasis , dalits and so on   ......those who are traumatised with all these killings are the people who matter the most.
#Manipur_Violence #Nuh_violence #MewatTerrorAttack…",0,08-08-2023
72,Now The Meiteis militant and Manipur stage force can easily attack kuki zo villages 👇 👇👇 This video is The prove of Manipur stage force and Meiteis Militant are joined hand together!! Walking in the  open Road with automatic guns!? #SOS FOR KUKI ZO COMMUNITY.,7,08-08-2023
73,"MODI cheated his wife, cheated his political guru Advani, cheated farmers, cheated youth, cheated people who voted him in 2014, cheated people of Manipur. In short he is a cheater and hence he doesn't deserve to be a Prime Minister.",481,08-08-2023
74,सरकार से #Manipur पे मेरे 8 सवाल!,21166,20-07-2023
75,"⛔️EXPOSED⛔️

SPEAK WHAT YOU SEE. ✊🏻

Blessed to have this particular community for speaking out. Religious places as a bunker ?? That’s wholly WRONG. 
The fact that Meiteis never respect holy places since the mayhem lead us to question the security/safety of our lives. 
#Manipur",271,08-08-2023
76,"Meitei-centric Manipur Government's attempt to silence dissent and free speech by blocking internet for more than 90 days wasn't enough. They consistently targets Twitter accounts of those who spoke against them, including ITLF's first account, which only strengthens our resolve.…",202,08-08-2023
77,"Protest parliament in Delhi
Cause of save Manipur",0,08-09-2023
78,"First Kuki burnt down all governments offices then houses of Meitei community chasing aways the villagers to escape for their lives.

And when violence broke out, you claim to be the victim & demand Separation!
Breaking #integrity of Manipur isn’t acceptable solution
#SaveManipur",11,08-08-2023
79,"Watch this Kuki Christian Insurgent admitting that the Army, CRPF is giving them full protection from #Meiteis and thanking them.
Good

But then why did Army , CRPF not give the same protection to #Meiteis???

Bcoz they are hindus? Or what?

Something very wrong and evil is going…",356,08-08-2023
80,"The distance of Rajsthan is aprx 2000 km less than Manipur but no ""messiah of women rights"" will visit there for obvious reasons.

Hey fraud @SwatiJaiHind, ticket karwa du?",574,08-08-2023
81,India's War on Drugs • Manipur Crisis • Golden Crescent to Golden Triangle piped.video/live/HsUlpgjkhyg… via @YouTube @pGurus1 @INCIndia @BJP4India @AshwiniUpadhyay @Iyervval @Dharma2X,0,08-09-2023
82,"BJP has two MPs from North east but no one denied what I said about the situation of Manipur, says Congress deputy leader in Loksabha @GauravGogoiAsm Ji. 

Foul mouthed Nishikant dubey was allowed but they didn’t allow their MPs from North east to speak.",1896,08-08-2023
83,"Hindu Culture of #manipur   has been destroyed by converted Christian ,, why media is not showing full story ... since days of Lehru ...Maitai Hindu were under constant attack..RBC Kuki",258,08-08-2023
84,Congress had not only insulted North East people but also neglected the region which had resulted in the formation of large numbers of militant organizations. The present problem in Manipur is the result of the long Congress misrule.,289,08-08-2023
85,"#Manipur: Meitei armed groups have forcefully turned a Masjid in Kwakta, Manipur into a fortified bunker.

The police commandos drawing the gunfight to the village of pangal muslims.

Many muslim families have left the village.

A compound with 4 houses of Yahya Khan (70) was…",196,08-08-2023
86,"PM took a 'maun vrat' to not speak in the Parliament. So, we had to bring the No Confidence Motion to break his silence. 

He needs to answer below :

1) Why did he not visit Manipur to date? 
2) Why did it take almost 80 days to finally speak on Manipur and when he did speak it…",516,08-08-2023
87,"""I moved the no-confidence motion, I was the first to speak on Manipur issue in the Parliament from Congress. I want to ask the BJP why their Manipur MPs didn't talk about the situation in their state. This shows the BJP is ignoring Manipur,"" says Congress MP - @GauravGogoiAsm",297,08-08-2023
88,"Is he the Vice President of India and the Rajya Sabha chairman, or a BJP leader?
Why shouldn't the Manipur issue be discussed in the parliament?
Why does the VP of the country get so upset when the word Manipur is said on the floor?",2977,08-08-2023
